"","city","lonlat.lon","lonlat.lat","lonlat1.lon","lonlat1.lat","cluster"
"1","Beijing",116.405285,39.904989,9929226.22711651,4437237.32598274,2640
"2","Tianjin",117.190182,39.125596,10108963.7765566,4350572.6808375,67440
"3","Shijiazhuang",114.502461,38.045474,10026812.8298697,4230468.45890637,17836
"4","Taiyuan",112.549248,37.857014,9881088.70388702,4209512.63941085,63870
"5","Hohhot",111.670801,40.818311,9397196.17075849,4538794.21324416,48091
"6","Shenyang",123.429096,41.796767,10231954.1613485,4647593.67902103,46290
"7","Changchun",125.3245,43.886841,10043433.2744467,4879999.56608608,42310
"8","Harbin",126.642464,45.756967,9825069.35895296,5087948.32385897,21079
"9","Shanghai",121.472644,31.231706,11549665.5555825,3472811.17198952,62265
"10","Nanjing",118.767413,32.041544,11194541.5726877,3562861.15049219,37630
"11","Hangzhou",120.153576,30.287459,11536856.8341024,3367815.57774573,73620
"12","Hefei",117.283042,31.86119,11076354.8497681,3542806.67808799,1379
"13","Fuzhou",119.306239,26.075302,11915985.1204073,2899444.56119691,3607
"14","Nanchang",115.892151,28.676493,11305999.378517,3188684.12964311,40856
"15","Jinan",117.000923,36.675807,10434322.0362762,4078168.26565067,56410
"16","Zhengzhou",113.665412,34.757975,10383818.5902734,3864914.83672818,31012
"17","Wuhan",114.198572,30.584355,10931739.0047026,3400828.94389739,34022
"18","Changsha",112.982279,28.19409,11072489.6039189,3135043.30298441,35201
"19","Guangzhou",113.280637,23.125178,11584125.3347704,2571405.36967934,7182
"20","Nanning",108.320004,22.82402,11101559.8846737,2537918.09021615,10913
"21","Haikou",110.33119,20.031971,11526071.2881064,2227456.05653979,12255
"22","Chongqing",106.504962,29.533155,10304093.696198,3283940.70525953,3290
"23","Chengdu",104.065735,30.659462,9954039.48759167,3409180.4706662,65671
"24","Guiyang",106.713478,26.578343,10612051.2956665,2955380.23133829,11870
"25","Kunming",102.712251,25.040609,10347602.8892281,2784391.81928203,71627
"26","Lhasa",91.132212,29.660361,8805706.30581615,3298085.38304127,70420
"27","Xian",108.948024,34.263161,10012139.5704881,3809893.96827941,52852
"28","Lanzhou",103.823557,36.058039,9332952.24257516,4009475.52078116,5918
"29","Xining",101.778916,36.623178,9083005.33748892,4072316.18126019,51431
"30","Yinchuan",106.278179,38.46637,9252872.54577545,4277270.01150314,50630
"31","Urumqi",87.617733,43.792818,7032708.54720209,4869544.67371407,68298
"32","Dalian",121.618622,38.91459,10522322.0077408,4327109.85770011,44541
"33","Qingdao",120.369557,36.094406,10815309.8093751,4013519.35123639,58753
"34","Ningbo",121.549792,29.868388,11720462.5930177,3321216.95611882,74963
"35","Xiamen",118.11022,24.490474,11951674.2606393,2723219.52936285,4634
"36","Shenzhen",114.085947,22.547,11716158.0982959,2507114.83691758,8983
